[2026-07-02T07:56:11.766Z] GET https://docs.google.com/document/d/16bzX3Xa9yXw3BV7k_XxuVAZYPBFIHHVjKSb1uPRGnrM/edit → 200 (564ms, ?B)
[2026-07-02T07:56:12.353Z] GET https://docs.google.com/static/document/client/css/2684350952-KixCss_ltr.css → pending (?ms, ?B)
[2026-07-02T07:56:12.353Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_core → pending (?ms, ?B)
[2026-07-02T07:56:12.353Z] GET chrome-extension://ghbmnnjooekpmoecnnnilnnbdlolhkhi/page_embed_script.js → pending (?ms, ?B)
[2026-07-02T07:56:12.940Z] GET https://ssl.gstatic.com/docs/common/material_common_sprite994_gm3_grey_medium.svg → 200 (238ms, ?B)
[2026-07-02T07:56:12.941Z] GET https://ssl.gstatic.com/docs/documents/share/images/sprite-24.svg → 200 (243ms, 7476B)
[2026-07-02T07:56:12.941Z] GET https://fonts.gstatic.com/s/googlesans/v29/4UaGrENHsxJlGDuGo1OIlL3Owp5eKQtG.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:12.941Z] GET https://fonts.gstatic.com/s/googlesans/v29/4UaGrENHsxJlGDuGo1OIlL3Kwp5eKQtGBlc.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:12.941Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (423ms, 35220B)
[2026-07-02T07:56:12.941Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3iUBHMdazTgWw.woff2 → pending (?ms, ?B)
[2026-07-02T07:56:12.941Z] GET https://fonts.gstatic.com/s/googlesansmono/v15/P5sZzYWFYtnZ_Cg-t0Uq_rfivrdYNYhsAhDGVQM.woff2 → 200 (423ms, 14146B)
[2026-07-02T07:56:13.288Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_nestedsketchycore → pending (?ms, ?B)
[2026-07-02T07:56:13.288Z] GET https://docs.google.com/_/docs/_/js/k=docs.client_js_prod.ru.1bTuabcNbwo.es5.O/am=QAACHABg/d=0/wt=0/rs=AGWKN8lmSKd_tRd2aiTDqcg0zcfma1aeUg/m=kix_app → pending (?ms, ?B)
